"species","genus","family"
"Limonium densissimum","Limonium","Plumbaginaceae"
"Limonium dodartii","Limonium","Plumbaginaceae"
"Limonium dubium","Limonium","Plumbaginaceae"
"Limonium duriusculum","Limonium","Plumbaginaceae"
"Limonium echioides","Limonium","Plumbaginaceae"
"Limonium florentinum","Limonium","Plumbaginaceae"
"Limonium geronense","Limonium","Plumbaginaceae"
"Limonium girardianum","Limonium","Plumbaginaceae"
"Limonium humile","Limonium","Plumbaginaceae"
"Limonium lambinonii","Limonium","Plumbaginaceae"
"Limonium legrandii","Limonium","Plumbaginaceae"
"Limonium narbonense","Limonium","Plumbaginaceae"
"Limonium obtusifolium","Limonium","Plumbaginaceae"
"Limonium ovalifolium","Limonium","Plumbaginaceae"
"Limonium patrimoniense","Limonium","Plumbaginaceae"
"Limonium portovecchiense","Limonium","Plumbaginaceae"
"Limonium pseudominutum","Limonium","Plumbaginaceae"
"Limonium strictissimum","Limonium","Plumbaginaceae"
"Limonium tarcoense","Limonium","Plumbaginaceae"
"Limonium virgatum","Limonium","Plumbaginaceae"
"Limonium vulgare","Limonium","Plumbaginaceae"
"Limosella aquatica","Limosella","Scrophulariaceae"
"Linaria alpina","Linaria","Plantaginaceae"
"Linaria angustissima","Linaria","Plantaginaceae"
"Linaria arenaria","Linaria","Plantaginaceae"
"Linaria arvensis","Linaria","Plantaginaceae"
"Linaria chalepensis","Linaria","Plantaginaceae"
"Linaria flava","Linaria","Plantaginaceae"
"Linaria incarnata","Linaria","Plantaginaceae"
"Linaria maroccana","Linaria","Plantaginaceae"
"Linaria micrantha","Linaria","Plantaginaceae"
"Linaria pelisseriana","Linaria","Plantaginaceae"
"Linaria purpurea","Linaria","Plantaginaceae"
"Linaria reflexa","Linaria","Plantaginaceae"
"Linaria repens","Linaria","Plantaginaceae"
"Linaria simplex","Linaria","Plantaginaceae"
"Linaria spartea","Linaria","Plantaginaceae"
"Linaria supina","Linaria","Plantaginaceae"
"Linaria thymifolia","Linaria","Plantaginaceae"
"Linaria triphylla","Linaria","Plantaginaceae"
"Linaria vulgaris","Linaria","Plantaginaceae"
"Lindernia dubia","Lindernia","Linderniaceae"
"Lindernia procumbens","Lindernia","Linderniaceae"
"Linnaea borealis","Linnaea","Caprifoliaceae"
"Linum alpinum","Linum","Linaceae"
"Linum austriacum","Linum","Linaceae"
"Linum campanulatum","Linum","Linaceae"
"Linum catharticum","Linum","Linaceae"
"Linum grandiflorum","Linum","Linaceae"
"Linum hirsutum","Linum","Linaceae"
"Linum leonii","Linum","Linaceae"
"Linum maritimum","Linum","Linaceae"
"Linum narbonense","Linum","Linaceae"
"Linum nodiflorum","Linum","Linaceae"
"Linum strictum","Linum","Linaceae"
"Linum tenuifolium","Linum","Linaceae"
"Linum trigynum","Linum","Linaceae"
"Linum usitatissimum","Linum","Linaceae"
"Linum viscosum","Linum","Linaceae"
"Lipandra polysperma","Lipandra","Amaranthaceae"
"Liparis loeselii","Liparis","Orchidaceae"
"Liquidambar styraciflua","Liquidambar","Altingiaceae"
"Liriodendron tulipifera","Liriodendron","Magnoliaceae"
"Lithodora fruticosa","Lithodora","Boraginaceae"
"Lithospermum officinale","Lithospermum","Boraginaceae"
"Littorella uniflora","Littorella","Plantaginaceae"
"Lobelia dortmanna","Lobelia","Campanulaceae"
"Lobelia erinus","Lobelia","Campanulaceae"
"Lobelia urens","Lobelia","Campanulaceae"
"Lobularia maritima","Lobularia","Brassicaceae"
"Loeflingia hispanica","Loeflingia","Caryophyllaceae"
"Logfia gallica","Logfia","Asteraceae"
"Logfia minima","Logfia","Asteraceae"
"Lolium multiflorum","Lolium","Poaceae"
"Lolium parabolicae","Lolium","Poaceae"
"Lolium perenne","Lolium","Poaceae"
"Lolium remotum","Lolium","Poaceae"
"Lolium rigidum","Lolium","Poaceae"
"Lolium temulentum","Lolium","Poaceae"
"Lomelosia graminifolia","Lomelosia","Caprifoliaceae"
"Lomelosia rutifolia","Lomelosia","Caprifoliaceae"
"Lomelosia simplex","Lomelosia","Caprifoliaceae"
"Lomelosia stellata","Lomelosia","Caprifoliaceae"
"Loncomelos narbonensis","Loncomelos","Asparagaceae"
"Loncomelos pyrenaicus","Loncomelos","Asparagaceae"
"Lonicera alpigena","Lonicera","Caprifoliaceae"
"Lonicera caerulea","Lonicera","Caprifoliaceae"
"Lonicera caprifolium","Lonicera","Caprifoliaceae"
"Lonicera etrusca","Lonicera","Caprifoliaceae"
"Lonicera implexa","Lonicera","Caprifoliaceae"
"Lonicera japonica","Lonicera","Caprifoliaceae"
"Lonicera nigra","Lonicera","Caprifoliaceae"
"Lonicera periclymenum","Lonicera","Caprifoliaceae"
"Lonicera pyrenaica","Lonicera","Caprifoliaceae"
"Lonicera tatarica","Lonicera","Caprifoliaceae"
"Lonicera xylosteum","Lonicera","Caprifoliaceae"
"Lotus angustissimus","Lotus","Fabaceae"
"Lotus castellanus","Lotus","Fabaceae"
"Lotus conimbricensis","Lotus","Fabaceae"
"Lotus corniculatus","Lotus","Fabaceae"
"Lotus creticus","Lotus","Fabaceae"
"Lotus cytisoides","Lotus","Fabaceae"
"Lotus dorycnium","Lotus","Fabaceae"
"Lotus edulis","Lotus","Fabaceae"
"Lotus tenuis","Lotus","Fabaceae"
"Lotus herbaceus","Lotus","Fabaceae"
"Lotus hirsutus","Lotus","Fabaceae"
"Lotus hispidus","Lotus","Fabaceae"
"Lotus jordanii","Lotus","Fabaceae"
"Lotus maritimus","Lotus","Fabaceae"
"Lotus ornithopodioides","Lotus","Fabaceae"
"Lotus parviflorus","Lotus","Fabaceae"
"Lotus pedunculatus","Lotus","Fabaceae"
"Lotus rectus","Lotus","Fabaceae"
"Lotus tetragonolobus","Lotus","Fabaceae"
"Ludwigia grandiflora","Ludwigia","Onagraceae"
"Ludwigia palustris","Ludwigia","Onagraceae"
"Ludwigia peploides","Ludwigia","Onagraceae"
"Lunaria annua","Lunaria","Brassicaceae"
"Lunaria rediviva","Lunaria","Brassicaceae"
"Lupinus albus","Lupinus","Fabaceae"
"Lupinus angustifolius","Lupinus","Fabaceae"
"Lupinus arboreus","Lupinus","Fabaceae"
"Lupinus luteus","Lupinus","Fabaceae"
"Lupinus micranthus","Lupinus","Fabaceae"
"Lupinus polyphyllus","Lupinus","Fabaceae"
"Luronium natans","Luronium","Alismataceae"
"Luzula alpina","Luzula","Juncaceae"
"Luzula alpinopilosa","Luzula","Juncaceae"
"Luzula campestris","Luzula","Juncaceae"
"Luzula congesta","Luzula","Juncaceae"
"Luzula desvauxii","Luzula","Juncaceae"
"Luzula forsteri","Luzula","Juncaceae"
"Luzula lutea","Luzula","Juncaceae"
"Luzula luzulina","Luzula","Juncaceae"
"Luzula luzuloides","Luzula","Juncaceae"
"Luzula multiflora","Luzula","Juncaceae"
"Luzula nivea","Luzula","Juncaceae"
"Luzula pedemontana","Luzula","Juncaceae"
"Luzula pediformis","Luzula","Juncaceae"
"Luzula pilosa","Luzula","Juncaceae"
"Luzula spicata","Luzula","Juncaceae"
"Luzula sudetica","Luzula","Juncaceae"
"Luzula sylvatica","Luzula","Juncaceae"
"Lychnis chalcedonica","Lychnis","Caryophyllaceae"
"Lychnis coronaria","Lychnis","Caryophyllaceae"
"Lychnis flos-cuculi","Lychnis","Caryophyllaceae"
"Lychnis flos-jovis","Lychnis","Caryophyllaceae"
"Lycianthes rantonnetii","Lycianthes","Solanaceae"
"Lycium barbarum","Lycium","Solanaceae"
"Lycium chinense","Lycium","Solanaceae"
"Lycium europaeum","Lycium","Solanaceae"
"Lycopodiella inundata","Lycopodiella","Lycopodiaceae"
"Diphasiastrum alpinum","Diphasiastrum","Lycopodiaceae"
"Spinulum annotinum","Spinulum","Lycopodiaceae"
"Lycopodium clavatum","Lycopodium","Lycopodiaceae"
"Diphasiastrum complanatum","Diphasiastrum","Lycopodiaceae"
"Diphasiastrum x issleri","Diphasiastrum","Lycopodiaceae"
"Diphasiastrum x oellgaardii","Diphasiastrum","Lycopodiaceae"
"Diphasiastrum tristachyum","Diphasiastrum","Lycopodiaceae"
"Diphasiastrum x zeilleri","Diphasiastrum","Lycopodiaceae"
"Lycopsis arvensis","Lycopsis","Boraginaceae"
"Lycopsis orientalis","Lycopsis","Boraginaceae"
"Lycopus europaeus","Lycopus","Lamiaceae"
"Lygeum spartum","Lygeum","Poaceae"
"Lysichiton americanus","Lysichiton","Araceae"
"Lysimachia arvensis","Lysimachia","Primulaceae"
"Lysimachia ephemerum","Lysimachia","Primulaceae"
"Lysimachia europaea","Lysimachia","Primulaceae"
"Lysimachia foemina","Lysimachia","Primulaceae"
"Lysimachia linum-stellatum","Lysimachia","Primulaceae"
"Lysimachia maritima","Lysimachia","Primulaceae"
"Lysimachia minima","Lysimachia","Primulaceae"
"Lysimachia monelli","Lysimachia","Primulaceae"
"Lysimachia nemorum","Lysimachia","Primulaceae"
"Lysimachia nummularia","Lysimachia","Primulaceae"
"Lysimachia punctata","Lysimachia","Primulaceae"
"Lysimachia tenella","Lysimachia","Primulaceae"
"Lysimachia thyrsiflora","Lysimachia","Primulaceae"
"Lysimachia tyrrhenia","Lysimachia","Primulaceae"
"Lysimachia vulgaris","Lysimachia","Primulaceae"
"Lythrum borysthenicum","Lythrum","Lythraceae"
"Lythrum hyssopifolia","Lythrum","Lythraceae"
"Lythrum junceum","Lythrum","Lythraceae"
"Lythrum portula","Lythrum","Lythraceae"
"Lythrum salicaria","Lythrum","Lythraceae"
"Lythrum thesioides","Lythrum","Lythraceae"
"Lythrum thymifolia","Lythrum","Lythraceae"
"Lythrum tribracteatum","Lythrum","Lythraceae"
"Lythrum virgatum","Lythrum","Lythraceae"
"Maclura pomifera","Maclura","Moraceae"
"Macrochloa tenacissima","Macrochloa","Poaceae"
"Odontites glutinosus","Odontites","Orobanchaceae"
"Magnolia grandiflora","Magnolia","Magnoliaceae"
"Magydaris pastinacea","Magydaris","Apiaceae"
"Maianthemum bifolium","Maianthemum","Asparagaceae"
"Malcolmia africana","Malcolmia","Brassicaceae"
"Malcolmia flexuosa","Malcolmia","Brassicaceae"
"Malcolmia littorea","Malcolmia","Brassicaceae"
"Malcolmia ramosissima","Malcolmia","Brassicaceae"
"Malephora crocea","Malephora","Aizoaceae"
"Malope malacoides","Malope","Malvaceae"
"Malus floribunda","Malus","Rosaceae"
"Malus domestica","Malus","Rosaceae"
"Malus sylvestris","Malus","Rosaceae"
"Malva alcea","Malva","Malvaceae"
"Malva arborea","Malva","Malvaceae"
"Malva cretica","Malva","Malvaceae"
"Malva longiflora","Malva","Malvaceae"
"Malva moschata","Malva","Malvaceae"
"Malva multiflora","Malva","Malvaceae"
"Malva neglecta","Malva","Malvaceae"
"Malva nicaeensis","Malva","Malvaceae"
"Malva olbia","Malva","Malvaceae"
"Malva parviflora","Malva","Malvaceae"
"Malva punctata","Malva","Malvaceae"
"Malva setigera","Malva","Malvaceae"
"Malva subovata","Malva","Malvaceae"
"Malva sylvestris","Malva","Malvaceae"
"Malva thuringiaca","Malva","Malvaceae"
"Malva tournefortiana","Malva","Malvaceae"
"Malva trimestris","Malva","Malvaceae"
"Malvella leprosa","Malvella","Malvaceae"
"Mantisalca salmantica","Mantisalca","Asteraceae"
"Maresia nana","Maresia","Brassicaceae"
"Marrubium vulgare","Marrubium","Lamiaceae"
"Marsilea drummondii","Marsilea","Marsileaceae"
"Marsilea quadrifolia","Marsilea","Marsileaceae"
"Marsilea strigosa","Marsilea","Marsileaceae"
"Matricaria chamomilla","Matricaria","Asteraceae"
"Matricaria discoidea","Matricaria","Asteraceae"
"Matteuccia struthiopteris","Matteuccia","Onocleaceae"
"Matthiola fruticulosa","Matthiola","Brassicaceae"
"Matthiola incana","Matthiola","Brassicaceae"
"Matthiola longipetala","Matthiola","Brassicaceae"
"Matthiola sinuata","Matthiola","Brassicaceae"
"Matthiola tricuspidata","Matthiola","Brassicaceae"
"Matthiola valesiaca","Matthiola","Brassicaceae"
"Medicago arabica","Medicago","Fabaceae"
"Medicago arborea","Medicago","Fabaceae"
"Medicago ciliaris","Medicago","Fabaceae"
"Medicago coronata","Medicago","Fabaceae"
"Medicago disciformis","Medicago","Fabaceae"
"Medicago doliata","Medicago","Fabaceae"
"Medicago hybrida","Medicago","Fabaceae"
"Medicago intertexta","Medicago","Fabaceae"
"Medicago italica","Medicago","Fabaceae"
"Medicago laciniata","Medicago","Fabaceae"
"Medicago littoralis","Medicago","Fabaceae"
"Medicago lupulina","Medicago","Fabaceae"
"Medicago marina","Medicago","Fabaceae"
"Medicago minima","Medicago","Fabaceae"
"Medicago monspeliaca","Medicago","Fabaceae"
"Medicago murex","Medicago","Fabaceae"
"Medicago muricoleptis","Medicago","Fabaceae"
"Medicago orbicularis","Medicago","Fabaceae"
"Medicago polyceratia","Medicago","Fabaceae"
"Medicago polymorpha","Medicago","Fabaceae"
"Medicago praecox","Medicago","Fabaceae"
"Medicago rigidula","Medicago","Fabaceae"
"Medicago rugosa","Medicago","Fabaceae"
"Medicago sativa","Medicago","Fabaceae"
"Medicago scutellata","Medicago","Fabaceae"
"Medicago secundiflora","Medicago","Fabaceae"
"Medicago soleirolii","Medicago","Fabaceae"
"Medicago suffruticosa","Medicago","Fabaceae"
"Medicago tenoreana","Medicago","Fabaceae"
"Medicago truncatula","Medicago","Fabaceae"
"Medicago turbinata","Medicago","Fabaceae"
"Melampyrum arvense","Melampyrum","Orobanchaceae"
"Melampyrum cristatum","Melampyrum","Orobanchaceae"
"Melampyrum pratense","Melampyrum","Orobanchaceae"
"Melampyrum subalpinum","Melampyrum","Orobanchaceae"
"Melampyrum sylvaticum","Melampyrum","Orobanchaceae"
"Melia azedarach","Melia","Meliaceae"
"Melica altissima","Melica","Poaceae"
"Melica amethystina","Melica","Poaceae"
"Melica ciliata","Melica","Poaceae"
"Melica minuta","Melica","Poaceae"
"Melica nutans","Melica","Poaceae"
"Melica uniflora","Melica","Poaceae"
"Melilotus albus","Melilotus","Fabaceae"
"Melilotus altissimus","Melilotus","Fabaceae"
"Melilotus elegans","Melilotus","Fabaceae"
"Melilotus indicus","Melilotus","Fabaceae"
"Melilotus italicus","Melilotus","Fabaceae"
"Melilotus messanensis","Melilotus","Fabaceae"
"Melilotus officinalis","Melilotus","Fabaceae"
"Melilotus segetalis","Melilotus","Fabaceae"
"Melilotus spicatus","Melilotus","Fabaceae"
"Melilotus sulcatus","Melilotus","Fabaceae"
"Melissa officinalis","Melissa","Lamiaceae"
"Melittis melissophyllum","Melittis","Lamiaceae"
"Melomphis arabica","Melomphis","Asparagaceae"
"Mentha aquatica","Mentha","Lamiaceae"
"Mentha arvensis","Mentha","Lamiaceae"
"Mentha cervina","Mentha","Lamiaceae"
"Mentha longifolia","Mentha","Lamiaceae"
"Mentha pulegium","Mentha","Lamiaceae"
"Mentha requienii","Mentha","Lamiaceae"
"Mentha spicata","Mentha","Lamiaceae"
"Mentha suaveolens","Mentha","Lamiaceae"
"Menyanthes trifoliata","Menyanthes","Menyanthaceae"
"Mercurialis ambigua","Mercurialis","Euphorbiaceae"
"Mercurialis annua","Mercurialis","Euphorbiaceae"
"Mercurialis corsica","Mercurialis","Euphorbiaceae"
"Mercurialis huetii","Mercurialis","Euphorbiaceae"
"Mercurialis perennis","Mercurialis","Euphorbiaceae"
"Mercurialis tomentosa","Mercurialis","Euphorbiaceae"
"Mesembryanthemum crystallinum","Mesembryanthemum","Aizoaceae"
"Mesembryanthemum nodiflorum","Mesembryanthemum","Aizoaceae"
"Meum athamanticum","Meum","Apiaceae"
"Mibora minima","Mibora","Poaceae"
"Micranthes clusii","Micranthes","Saxifragaceae"
"Micranthes hieraciifolia","Micranthes","Saxifragaceae"
"Micranthes stellaris","Micranthes","Saxifragaceae"
"Micromeria filiformis","Micromeria","Lamiaceae"
"Micromeria graeca","Micromeria","Lamiaceae"
"Micromeria juliana","Micromeria","Lamiaceae"
"Micromeria marginata","Micromeria","Lamiaceae"
"Micropyrum tenellum","Micropyrum","Poaceae"
"Microthlaspi perfoliatum","Microthlaspi","Brassicaceae"
"Milium effusum","Milium","Poaceae"
"Milium montianum","Milium","Poaceae"
"Milium vernale","Milium","Poaceae"
"Wisteriopsis japonica","Wisteriopsis","Fabaceae"
"Cherleria capillacea","Cherleria","Caryophyllaceae"
"Facchinia cerastiifolia","Facchinia","Caryophyllaceae"
"Minuartia glomerata","Minuartia","Caryophyllaceae"
"Sabulina tenuifolia","Sabulina","Caryophyllaceae"
"Minuartia lanuginosa","Minuartia","Caryophyllaceae"
"Cherleria laricifolia","Cherleria","Caryophyllaceae"
"Sabulina mediterranea","Sabulina","Caryophyllaceae"
"Minuartia montana","Minuartia","Caryophyllaceae"
"Minuartia recurva","Minuartia","Caryophyllaceae"
"Minuartia rostrata","Minuartia","Caryophyllaceae"
"Minuartia mucronata","Minuartia","Caryophyllaceae"
"Facchinia rupestris","Facchinia","Caryophyllaceae"
"Cherleria sedoides","Cherleria","Caryophyllaceae"
"Minuartia setacea","Minuartia","Caryophyllaceae"
"Sabulina stricta","Sabulina","Caryophyllaceae"
"Sabulina verna","Sabulina","Caryophyllaceae"
"Sabulina villarsii","Sabulina","Caryophyllaceae"
"Sabulina viscosa","Sabulina","Caryophyllaceae"
"Mirabilis jalapa","Mirabilis","Nyctaginaceae"
"Miscanthus sinensis","Miscanthus","Poaceae"
"Misopates calycinum","Misopates","Plantaginaceae"
"Misopates orontium","Misopates","Plantaginaceae"
"Modiola caroliniana","Modiola","Malvaceae"
"Moehringia argenteria","Moehringia","Caryophyllaceae"
"Moehringia ciliata","Moehringia","Caryophyllaceae"
"Moehringia intermedia","Moehringia","Caryophyllaceae"
"Moehringia lebrunii","Moehringia","Caryophyllaceae"
"Moehringia muscosa","Moehringia","Caryophyllaceae"
"Moehringia pentandra","Moehringia","Caryophyllaceae"
"Moehringia sedoides","Moehringia","Caryophyllaceae"
"Moehringia trinervia","Moehringia","Caryophyllaceae"
"Moenchia erecta","Moenchia","Caryophyllaceae"
"Molineriella minuta","Molineriella","Poaceae"
"Molinia arundinacea","Molinia","Poaceae"
"Molinia caerulea","Molinia","Poaceae"
"Mollugo verticillata","Mollugo","Molluginaceae"
"Molopospermum peleponnesiacum","Molopospermum","Apiaceae"
"Monarda didyma","Monarda","Lamiaceae"
"Monarda fistulosa","Monarda","Lamiaceae"
"Moneses uniflora","Moneses","Ericaceae"
"Hypopitys monotropa","Hypopitys","Ericaceae"
"Montia fontana","Montia","Montiaceae"
"Moorochloa eruciformis","Moorochloa","Poaceae"
"Moraea sisyrinchium","Moraea","Iridaceae"
"Moricandia arvensis","Moricandia","Brassicaceae"
"Morisia monanthos","Morisia","Brassicaceae"
"Morus alba","Morus","Moraceae"
"Morus australis","Morus","Moraceae"
"Morus nigra","Morus","Moraceae"
"Muhlenbergia mexicana","Muhlenbergia","Poaceae"
"Murbeckiella pinnatifida","Murbeckiella","Brassicaceae"
"Murbeckiella omissa","Murbeckiella","Brassicaceae"
"Muscari armeniacum","Muscari","Asparagaceae"
"Muscari atlanticum","Muscari","Asparagaceae"
"Muscari botryoides","Muscari","Asparagaceae"
"Muscari comosum","Muscari","Asparagaceae"
"Muscari matritense","Muscari","Asparagaceae"
"Muscari motelayi","Muscari","Asparagaceae"
"Muscari neglectum","Muscari","Asparagaceae"
"Muscari parviflorum","Muscari","Asparagaceae"
"Mutellina adonidifolia","Mutellina","Apiaceae"
"Mutellina corsica","Mutellina","Apiaceae"
"Myagrum perfoliatum","Myagrum","Brassicaceae"
"Myoporum laetum","Myoporum","Scrophulariaceae"
"Myoporum tenuifolium","Myoporum","Scrophulariaceae"
"Myosotis alpestris","Myosotis","Boraginaceae"
"Myosotis arvensis","Myosotis","Boraginaceae"
"Myosotis balbisiana","Myosotis","Boraginaceae"
"Myosotis congesta","Myosotis","Boraginaceae"
"Myosotis corsicana","Myosotis","Boraginaceae"
"Myosotis decumbens","Myosotis","Boraginaceae"
"Myosotis discolor","Myosotis","Boraginaceae"
"Myosotis dubia","Myosotis","Boraginaceae"
"Myosotis laxa","Myosotis","Boraginaceae"
"Myosotis martini","Myosotis","Boraginaceae"
"Myosotis michaelae","Myosotis","Boraginaceae"
"Myosotis minutiflora","Myosotis","Boraginaceae"
"Myosotis nemorosa","Myosotis","Boraginaceae"
"Myosotis pusilla","Myosotis","Boraginaceae"
"Myosotis ramosissima","Myosotis","Boraginaceae"
"Myosotis rehsteineri","Myosotis","Boraginaceae"
"Myosotis scorpioides","Myosotis","Boraginaceae"
"Myosotis secunda","Myosotis","Boraginaceae"
"Myosotis sicula","Myosotis","Boraginaceae"
"Myosotis soleirolii","Myosotis","Boraginaceae"
"Myosotis speluncicola","Myosotis","Boraginaceae"
"Myosotis stricta","Myosotis","Boraginaceae"
"Myosotis sylvatica","Myosotis","Boraginaceae"
"Stellaria aquatica","Stellaria","Caryophyllaceae"
"Myosurus minimus","Myosurus","Ranunculaceae"
"Myrica gale","Myrica","Myricaceae"
"Myricaria germanica","Myricaria","Tamaricaceae"
"Myriolimon diffusum","Myriolimon","Plumbaginaceae"
"Myriolimon ferulaceum","Myriolimon","Plumbaginaceae"
"Myriophyllum alterniflorum","Myriophyllum","Haloragaceae"
"Myriophyllum aquaticum","Myriophyllum","Haloragaceae"
"Myriophyllum heterophyllum","Myriophyllum","Haloragaceae"
"Myriophyllum spicatum","Myriophyllum","Haloragaceae"
"Myriophyllum verticillatum","Myriophyllum","Haloragaceae"
"Myrrhis odorata","Myrrhis","Apiaceae"
"Myrtus communis","Myrtus","Myrtaceae"
"Najas gracillima","Najas","Hydrocharitaceae"
"Najas graminea","Najas","Hydrocharitaceae"
"Najas indica","Najas","Hydrocharitaceae"
"Najas marina","Najas","Hydrocharitaceae"
"Najas minor","Najas","Hydrocharitaceae"
"Nananthea perpusilla","Nananthea","Asteraceae"
"Narcissus assoanus","Narcissus","Amaryllidaceae"
"Narcissus bicolor","Narcissus","Amaryllidaceae"
"Narcissus bulbocodium","Narcissus","Amaryllidaceae"
"Narcissus dubius","Narcissus","Amaryllidaceae"
"Narcissus gigas","Narcissus","Amaryllidaceae"
"Narcissus jacetanus","Narcissus","Amaryllidaceae"
"Narcissus jonquilla","Narcissus","Amaryllidaceae"
"Narcissus obsoletus","Narcissus","Amaryllidaceae"
"Narcissus papyraceus","Narcissus","Amaryllidaceae"
"Narcissus poeticus","Narcissus","Amaryllidaceae"
"Narcissus pseudonarcissus","Narcissus","Amaryllidaceae"
"Narcissus tazetta","Narcissus","Amaryllidaceae"
"Narcissus triandrus","Narcissus","Amaryllidaceae"
"Narduroides salzmannii","Narduroides","Poaceae"
"Nardus stricta","Nardus","Poaceae"
"Narthecium ossifragum","Narthecium","Nartheciaceae"
"Narthecium reverchonii","Narthecium","Nartheciaceae"
"Nassella neesiana","Nassella","Poaceae"
"Nassella poeppigiana","Nassella","Poaceae"
"Nassella tenuissima","Nassella","Poaceae"
"Nassella trichotoma","Nassella","Poaceae"
"Nasturtium microphyllum","Nasturtium","Brassicaceae"
"Nasturtium officinale","Nasturtium","Brassicaceae"
"Neatostema apulum","Neatostema","Boraginaceae"
"Nectaroscilla hyacinthoides","Nectaroscilla","Asparagaceae"
"Neoschischkinia elegans","Neoschischkinia","Poaceae"
"Neoschischkinia pourretii","Neoschischkinia","Poaceae"
"Neoschischkinia truncatula","Neoschischkinia","Poaceae"
"Neotinea conica","Neotinea","Orchidaceae"
"Neotinea lactea","Neotinea","Orchidaceae"
"Neotinea maculata","Neotinea","Orchidaceae"
"Neotinea tridentata","Neotinea","Orchidaceae"
"Neotinea ustulata","Neotinea","Orchidaceae"
"Neottia cordata","Neottia","Orchidaceae"
"Neottia nidus-avis","Neottia","Orchidaceae"
"Neottia ovata","Neottia","Orchidaceae"
"Nepeta agrestis","Nepeta","Lamiaceae"
"Nepeta cataria","Nepeta","Lamiaceae"
"Nepeta grandiflora","Nepeta","Lamiaceae"
"Nepeta latifolia","Nepeta","Lamiaceae"
"Nepeta nepetella","Nepeta","Lamiaceae"
"Nepeta nuda","Nepeta","Lamiaceae"
"Nerium oleander","Nerium","Apocynaceae"
"Neslia paniculata","Neslia","Brassicaceae"
"Nicandra physalodes","Nicandra","Solanaceae"
"Nicotiana glauca","Nicotiana","Solanaceae"
"Nigella arvensis","Nigella","Ranunculaceae"
"Nigella damascena","Nigella","Ranunculaceae"
"Nigella hispanica","Nigella","Ranunculaceae"
"Nigella nigellastrum","Nigella","Ranunculaceae"
"Nigella sativa","Nigella","Ranunculaceae"
"Noccaea alpestris","Noccaea","Brassicaceae"
"Noccaea brachypetala","Noccaea","Brassicaceae"
"Noccaea brevistyla","Noccaea","Brassicaceae"
"Noccaea caerulescens","Noccaea","Brassicaceae"
"Noccaea corymbosa","Noccaea","Brassicaceae"
"Noccaea montana","Noccaea","Brassicaceae"
"Noccaea praecox","Noccaea","Brassicaceae"
"Noccaea rotundifolia","Noccaea","Brassicaceae"
"Nonea echioides","Nonea","Boraginaceae"
"Nonea pulla","Nonea","Boraginaceae"
"Nonea lutea","Nonea","Boraginaceae"
"Nonea pallens","Nonea","Boraginaceae"
"Nothobartsia spicata","Nothobartsia","Orobanchaceae"
"Nothoscordum borbonicum","Nothoscordum","Amaryllidaceae"
"Notobasis syriaca","Notobasis","Asteraceae"
"Nuphar lutea","Nuphar","Nymphaeaceae"
"Nuphar pumila","Nuphar","Nymphaeaceae"
"Nymphaea alba","Nymphaea","Nymphaeaceae"
"Nymphoides peltata","Nymphoides","Menyanthaceae"
"Ocimum basilicum","Ocimum","Lamiaceae"
"Odontites cebennensis","Odontites","Orobanchaceae"
"Odontites corsicus","Odontites","Orobanchaceae"
"Odontites jaubertianus","Odontites","Orobanchaceae"
"Odontites luteus","Odontites","Orobanchaceae"
"Odontites vernus","Odontites","Orobanchaceae"
"Odontites viscosus","Odontites","Orobanchaceae"
"Oenanthe aquatica","Oenanthe","Apiaceae"
"Oenanthe crocata","Oenanthe","Apiaceae"
"Oenanthe fistulosa","Oenanthe","Apiaceae"
"Oenanthe fluviatilis","Oenanthe","Apiaceae"
"Oenanthe globulosa","Oenanthe","Apiaceae"
"Oenanthe lachenalii","Oenanthe","Apiaceae"
"Oenanthe peucedanifolia","Oenanthe","Apiaceae"
"Oenanthe pimpinelloides","Oenanthe","Apiaceae"
"Oenanthe silaifolia","Oenanthe","Apiaceae"
"Oenothera ammophila","Oenothera","Onagraceae"
"Oenothera biennis","Oenothera","Onagraceae"
"Oenothera drummondii","Oenothera","Onagraceae"
"Oenothera ersteinensis","Oenothera","Onagraceae"
"Oenothera glazioviana","Oenothera","Onagraceae"
"Oenothera laciniata","Oenothera","Onagraceae"
"Oenothera lindheimeri","Oenothera","Onagraceae"
"Oenothera longiflora","Oenothera","Onagraceae"
"Oenothera nuda","Oenothera","Onagraceae"
"Oenothera oakesiana","Oenothera","Onagraceae"
"Oenothera parviflora","Oenothera","Onagraceae"
"Oenothera pycnocarpa","Oenothera","Onagraceae"
"Oenothera rosea","Oenothera","Onagraceae"
"Oenothera rubricaulis","Oenothera","Onagraceae"
"Oenothera speciosa","Oenothera","Onagraceae"
"Oenothera stricta","Oenothera","Onagraceae"
"Oenothera stuchii","Oenothera","Onagraceae"
"Oenothera suaveolens","Oenothera","Onagraceae"
"Oenothera subterminalis","Oenothera","Onagraceae"
"Oenothera villosa","Oenothera","Onagraceae"
"Olea europaea","Olea","Oleaceae"
"Oloptum miliaceum","Oloptum","Poaceae"
"Iberodes linifolia","Iberodes","Boraginaceae"
"Iberodes littoralis","Iberodes","Boraginaceae"
"Omphalodes verna","Omphalodes","Boraginaceae"
"Oncostema elongata","Oncostema","Asparagaceae"
"Oncostema peruviana","Oncostema","Asparagaceae"
"Onobrychis aequidentata","Onobrychis","Fabaceae"
"Onobrychis arenaria","Onobrychis","Fabaceae"
